SL.No,date,total,analytics,anger,confident,sadness,fear,joy
1,15-Mar,642,29.59501558,28.5046729,23.36448598,4.672897196,6.230529595,7.632398754
2,17-Mar,689,35.41364296,22.64150943,20.02902758,7.982583454,5.660377358,8.272859216
3,18-Mar,660,28.03030303,27.57575758,21.36363636,8.636363636,5.909090909,8.484848485
4,20-Mar,570,28.42105263,25.43859649,20.52631579,7.01754386,6.49122807,12.10526316
5,21-Mar,631,33.75594295,23.6133122,19.65134707,4.437400951,7.765451664,10.77654517
6,23-Mar,547,31.62705667,18.82998172,22.48628885,6.581352834,7.129798903,13.34552102
7,24-Mar,599,29.04841402,21.86978297,19.36560935,11.35225376,8.013355593,10.35058431
8,26-Mar,643,27.21617418,27.21617418,20.68429238,10.57542768,6.99844479,7.309486781
9,27-Mar,627,28.54864434,23.76395534,21.53110048,11.00478469,7.177033493,7.974481659
10,29-Mar,578,29.58477509,22.66435986,19.89619377,11.5916955,5.709342561,10.55363322
11,31-Mar,635,29.29133858,24.56692913,20.31496063,11.18110236,6.614173228,8.031496063
12,01-Apr,600,26.5,25.5,23.33333333,10,6.5,8.166666667
13,03-Apr,580,29.31034483,26.20689655,19.13793103,8.793103448,6.379310345,10.17241379
14,04-Apr,582,29.5532646,23.36769759,21.13402062,8.762886598,5.670103093,11.51202749
15,06-Apr,538,29.55390335,24.53531599,19.51672862,8.364312268,5.204460967,12.82527881
16,07-Apr,594,28.11447811,28.61952862,16.32996633,9.259259259,6.734006734,10.94276094
17,09-Apr,651,27.64976959,25.49923195,23.04147465,7.987711214,6.298003072,9.523809524
18,10-Apr,503,29.22465209,22.86282306,20.27833002,12.12723658,4.970178926,10.53677932
19,12-Apr,544,27.02205882,22.79411765,22.05882353,10.66176471,8.639705882,8.823529412
20,14-Apr,563,31.26110124,22.20248668,19.18294849,11.01243339,7.282415631,9.058614565
21,15-Apr,718,30.77994429,24.09470752,19.77715877,9.052924791,4.874651811,11.42061281
22,16-Apr,679,27.54050074,23.85861561,19.88217968,8.983799705,5.00736377,14.7275405
23,17-Apr,630,29.36507937,24.28571429,20.15873016,10.95238095,5.714285714,9.523809524
24,18-Apr,634,25.70977918,19.71608833,25.55205047,9.148264984,4.731861199,15.14195584
25,19-Apr,706,26.77053824,21.38810198,22.94617564,11.61473088,5.807365439,11.47308782
26,20-Apr,680,25.73529412,24.26470588,21.02941176,10.44117647,5.294117647,13.23529412
27,21-Apr,723,29.18395574,22.95988935,20.88520055,11.06500692,5.394190871,10.51175657
28,22-Apr,711,28.55133615,22.08157525,20.95639944,11.39240506,6.188466948,10.82981716
29,23-Apr,633,27.48815166,21.95892575,20.5371248,10.58451817,5.055292259,14.37598736
30,24-Apr,613,27.56933116,21.69657423,23.00163132,11.41924959,4.078303426,12.23491028
31,25-Apr,669,29.44693572,19.58146487,23.01943199,11.21076233,5.680119581,11.0612855
32,26-Apr,639,27.38654147,21.28325509,24.56964006,8.13771518,6.103286385,12.51956182
33,27-Apr,526,26.80608365,24.90494297,20.15209125,11.21673004,6.844106464,10.07604563
34,28-Apr,610,24.75409836,23.27868852,21.96721311,11.31147541,5.901639344,12.78688525
35,29-Apr,577,26.86308492,25.47660312,19.41074523,9.532062392,6.932409012,11.78509532
36,30-Apr,637,32.96703297,19.78021978,22.13500785,9.105180534,4.552590267,11.4599686
37,01-May,592,30.06756757,22.80405405,19.59459459,9.290540541,8.952702703,9.290540541
38,02-May,556,26.07913669,21.58273381,23.74100719,10.97122302,8.273381295,9.352517986
39,04-May,924,29.76190476,20.02164502,25.97402597,8.766233766,5.952380952,9.523809524
40,05-May,957,28.00417973,23.61546499,18.07732497,10.44932079,6.269592476,13.58411703
41,06-May,892,28.69955157,20.96412556,21.30044843,12.33183857,6.502242152,10.20179372
42,07-May,894,29.86577181,22.14765101,22.48322148,10.17897092,7.158836689,8.165548098
43,08-May,939,29.60596379,23.64217252,20.12779553,9.691160809,5.218317359,11.71458999
44,09-May,901,30.41065483,17.42508324,22.41953385,12.65260821,5.549389567,11.5427303
45,10-May,897,27.98216276,19.50947603,22.40802676,11.81716834,6.02006689,12.26309922
46,11-May,220,26.81818182,22.27272727,22.72727273,11.36363636,5,11.81818182
47,12-May,1138,30.40421793,18.54130053,17.75043937,12.12653779,5.272407733,15.90509666
